id,nome,idade,salario
49,Nome_49,28.0,40057
7,Nome_7,54.0,30170
48,Nome_48,60.0,40651
52,Nome_52,58.0,45776
56,Nome_56,44.0,31350
65,Nome_65,61.0,87127
51,Nome_51,42.0,34054
62,Nome_62,28.0,82401
15,Nome_15,,42718
40,,33.0,72352
10,,47.0,49389
38,Nome_38,54.0,77996
60,,,53680
61,Nome_61,40.0,71788
73,Nome_73,39.0,38338
32,Nome_32,19.0,93755
94,Nome_94,64.0,32899
84,Nome_84,31.0,58441
39,Nome_39,40.0,83034
1,Nome_1,57.0,82527
16,Nome_16,36.0,59090
99,Nome_99,22.0,34361
45,Nome_45,,48274
37,Nome_37,29.0,52010
34,Nome_34,22.0,58370
30,,,88173
79,Nome_79,35.0,85825
11,Nome_11,31.0,35503
35,Nome_35,26.0,38912
95,Nome_95,30.0,40758
41,Nome_41,48.0,59921
3,Nome_3,38.0,59287
93,Nome_93,59.0,35067
55,Nome_55,56.0,47927
47,Nome_47,64.0,98368
77,Nome_77,44.0,66803
68,Nome_68,21.0,53276
88,Nome_88,25.0,84609
67,Nome_67,20.0,66672
71,Nome_71,64.0,95012
53,Nome_53,39.0,54487
36,Nome_36,43.0,67124
8,Nome_8,25.0,98252
58,Nome_58,43.0,37878
26,Nome_26,19.0,96982
54,Nome_54,38.0,96663
92,Nome_92,68.0,34843
87,Nome_87,66.0,55861
50,,24.0,87376
9,Nome_9,33.0,94040
85,Nome_85,22.0,55450
59,Nome_59,48.0,49969
30,,,88173
66,Nome_66,58.0,33531
17,Nome_17,69.0,87135
6,Nome_6,65.0,61465
96,Nome_96,62.0,75692
90,,,76907
17,Nome_17,69.0,87135
22,Nome_22,66.0,52665
86,Nome_86,68.0,30751
21,Nome_21,22.0,80497
70,,24.0,72189
19,Nome_19,66.0,57443
27,Nome_27,22.0,50154
98,Nome_98,36.0,80151
64,Nome_64,23.0,93878
76,Nome_76,50.0,87190
100,,69.0,92303
83,Nome_83,27.0,62204
95,Nome_95,30.0,40758
12,Nome_12,42.0,41160
81,Nome_81,44.0,33613
13,Nome_13,22.0,48731
18,Nome_18,44.0,50606
89,Nome_89,54.0,96413
97,Nome_97,24.0,79795
29,Nome_29,29.0,38224
46,Nome_46,40.0,75166
20,,46.0,48305
31,Nome_31,53.0,71082
57,Nome_57,23.0,91575
78,Nome_78,30.0,67103
75,Nome_75,,53314
91,Nome_91,26.0,53755
82,Nome_82,24.0,80843
23,Nome_23,40.0,56913
69,Nome_69,45.0,72456
2,Nome_2,39.0,56283
42,Nome_42,52.0,46192
44,Nome_44,30.0,43486
74,Nome_74,31.0,41080
32,Nome_32,19.0,93755
24,Nome_24,27.0,59496
14,Nome_14,69.0,36542
83,Nome_83,27.0,62204
33,Nome_33,60.0,60601
72,Nome_72,54.0,89391
4,Nome_4,51.0,37097
43,Nome_43,58.0,96823
28,Nome_28,52.0,90090
5,Nome_5,41.0,48448
80,,34.0,64405
63,Nome_63,18.0,99865
25,Nome_25,36.0,87863
